xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0.51279,3658.5,4218.4,9.8816,27.201,42.648,2656.7,69.359,120.47,0.3732,81.07,48.489,2581.5,25.607,51.33,3070.9,23.227,67.357,314.91,333.33,94.089,76.62,62.407,49.75,50.384,65.738,18.264,45.611,33.654,49.611,71.388,42.583,19.595
0.19686,3648.4,4507.1,9.4107,26.316,42.314,2698.2,75.568,120.37,0.34572,80.2,50.452,2628.1,26.068,52.098,3093.5,22.342,66.123,237.88,342.6,94.608,77.25,62.763,54.382,19.457,61.541,21.655,40.805,39.431,51.389,49.545,40.366,19.499
0.29402,3650.7,4668.4,9.5732,27.003,42.325,2691.6,75.088,120.39,0.69678,81.213,49.667,2620.8,25.768,48.99,3089.8,24.018,63.315,137.75,344.47,94.509,79.095,63.164,54.887,28.684,62.951,22.28,81.99,37.121,44.196,26.628,41.155,14.285
0.0012322,3653.9,4521.6,9.3407,26.964,41.93,2865.6,75.487,120.42,0.22595,76.832,49.836,2791.3,23.558,49.463,3285.1,22.386,64.596,289.23,322.84,95.057,75.315,63.201,53.653,99.6,62.673,20.783,27.848,37.619,45.291,58.305,40.09,20.713
0.29095,3764.1,4481.7,9.34,27.356,42.29,2702.9,74.973,120.48,0.3447,80.255,50.367,2630.6,26.027,51.375,3102.8,22.834,65.803,229.63,339.83,94.538,77.552,63.632,53.361,28.268,60.683,21.708,40.218,39.179,49.716,48.152,42.937,18.405
0.21706,3687.6,4474.5,9.2016,26.94,42.745,2678.0,75.494,120.34,0.34593,79.787,49.513,2587.7,25.326,50.265,3082.8,22.982,66.503,249.95,333.15,95.136,77.293,62.429,53.608,21.803,62.729,17.742,41.257,36.667,47.146,52.524,39.189,18.262
0.24398,3660.4,4529.1,9.2429,27.271,42.162,2705.1,75.583,120.39,0.33483,80.069,50.102,2633.2,25.803,49.503,3103.3,22.798,65.137,228.42,339.31,94.673,76.967,63.312,54.24,24.163,61.677,22.01,39.828,38.399,45.383,46.043,40.983,18.528
0.001914,3757.1,4566.8,9.952,26.817,42.579,2702.7,73.232,120.38,0.48473,80.185,49.856,2636.2,23.762,49.641,3075.6,23.249,68.516,294.72,366.96,93.996,78.194,63.767,54.87,0.45849,65.778,27.566,54.255,37.676,45.704,64.924,41.822,16.935
0.23008,3595.4,4534.4,9.1808,26.62,42.332,2699.4,75.12,120.42,0.32302,79.924,51.198,2627.4,24.795,50.652,3095.7,23.974,65.343,222.24,340.33,94.767,76.695,62.589,54.516,22.727,60.124,21.936,39.096,41.627,48.043,45.539,37.852,15.764
0.45053,3688.6,4200.4,8.589,26.997,41.892,2810.9,75.525,120.44,0.31788,76.878,51.624,2735.4,26.06,50.904,3222.5,21.979,69.451,432.42,327.25,95.878,74.445,63.306,50.155,44.071,55.951,20.788,37.895,42.88,48.627,99.982,38.44,23.543
0.25535,3665.9,4470.0,9.3623,26.889,42.239,2705.1,75.275,120.48,0.34579,79.999,50.569,2634.2,24.104,51.273,3100.3,23.231,65.833,236.57,342.85,92.132,77.508,63.576,54.698,25.052,62.116,22.746,41.051,39.776,49.481,48.924,42.733,17.455
0.27616,3639.0,4488.5,9.2922,26.869,42.199,2709.3,74.682,120.42,0.32368,80.086,50.146,2638.5,27.324,50.4,3105.3,23.251,63.786,185.22,341.05,94.706,77.136,62.423,54.182,27.619,60.287,22.483,38.803,38.529,47.459,36.305,41.976,17.467
0.0039405,3769.0,4831.7,11.022,26.872,43.394,3000.1,71.793,120.4,0.27594,74.06,49.163,2942.4,22.36,49.217,3345.2,22.823,67.502,382.01,380.43,92.458,75.395,95.72,100.0,0.0,100.01,-0.014105,0.49211,35.638,44.723,-0.17951,55.508,22.664
0.30966,3635.3,4464.6,9.143,26.951,42.155,2681.9,75.491,120.38,0.34855,80.385,48.49,2608.7,26.484,51.983,3083.7,22.59,66.623,229.44,334.67,94.723,77.005,61.998,53.212,30.702,59.645,20.669,42.137,33.658,51.122,48.293,40.235,19.206
0.74665,3651.1,4558.3,8.6292,26.82,42.404,2700.0,76.765,120.4,0.29987,80.05,49.624,2627.4,26.195,48.898,3100.2,22.608,66.417,228.29,336.82,94.844,76.903,63.648,54.613,73.207,56.911,21.258,36.033,36.992,43.984,47.943,40.168,18.947
0.18964,3699.2,4588.2,9.3568,27.337,42.188,2702.5,76.372,120.42,0.34578,80.383,50.615,2630.2,25.713,50.343,3102.4,22.629,66.266,233.54,339.23,94.705,77.361,63.959,53.801,18.435,59.934,21.634,41.384,39.91,47.328,48.158,40.681,21.604
0.29167,3696.6,4500.4,9.105,26.797,42.428,2698.0,74.628,120.41,0.32745,79.356,50.772,2570.6,23.947,49.689,3097.0,22.826,65.218,227.71,317.7,94.947,76.436,63.541,54.288,28.626,59.988,13.13,39.931,40.372,45.814,45.842,40.62,18.895
0.0,3587.7,4204.7,9.6892,26.903,42.38,3000.0,73.711,120.4,0.22532,72.969,50.321,2920.0,25.374,49.703,3446.4,23.28,67.31,462.85,307.87,95.758,73.084,68.542,48.659,100.0,83.75,23.1,3.1199,39.043,45.847,100.13,61.755,14.47
0.30057,3691.4,4493.6,9.3336,26.842,42.133,2700.6,75.264,120.4,0.31261,80.021,51.435,2628.2,25.075,49.712,3099.6,23.643,65.599,225.44,340.24,94.552,76.954,63.19,53.707,30.009,62.262,21.494,37.033,42.322,45.867,46.364,45.132,16.497
0.22152,3706.7,4438.2,9.2309,26.935,41.985,2803.6,77.006,120.44,0.29344,78.197,51.245,2733.2,25.829,49.672,3197.9,22.794,66.695,316.99,343.08,95.058,76.081,62.955,53.437,21.903,58.066,24.541,33.93,41.762,45.774,67.5,41.05,19.371
0.24882,3606.9,4451.1,9.2205,27.198,42.299,2692.2,74.995,120.46,0.34811,80.347,49.797,2619.6,26.482,48.285,3092.6,23.419,65.794,224.55,338.18,94.851,77.176,62.721,53.314,24.036,64.277,21.175,41.549,37.503,42.566,46.962,41.688,17.036
0.29396,3688.5,4666.4,9.3539,27.069,42.242,2748.7,77.353,120.38,0.3137,80.267,51.226,2675.9,26.891,49.397,3155.5,22.576,60.439,87.489,332.42,95.046,77.686,62.454,55.273,28.901,59.523,21.057,37.526,41.707,45.139,15.142,40.512,18.511
0.22903,3687.3,4390.4,9.3334,26.847,42.047,2691.3,73.904,120.41,0.35921,80.74,49.513,2619.3,23.465,51.502,3091.6,22.919,66.161,236.83,338.33,94.661,77.657,63.504,53.415,22.415,76.313,21.135,42.392,36.668,50.01,49.324,41.775,18.146
0.26886,3720.7,4486.6,9.3648,27.141,42.273,2692.4,74.483,120.42,0.34554,79.785,50.31,2578.5,25.248,50.002,3090.0,23.236,66.005,242.37,326.73,94.589,76.702,63.857,53.482,26.652,60.64,15.546,42.266,39.012,46.539,50.181,41.303,17.707
0.22915,3682.5,4528.4,9.3401,27.006,42.392,2714.3,74.786,120.4,0.33563,80.321,49.055,2643.3,24.638,49.514,3113.3,22.079,65.598,226.88,340.12,94.653,77.587,62.795,54.159,22.615,62.006,22.345,40.141,35.32,45.409,46.614,44.998,20.183
0.22437,3667.7,4515.1,9.2392,27.046,42.01,2692.7,75.25,120.4,0.31861,80.317,48.537,2621.2,24.624,50.617,3091.9,23.323,65.642,223.29,341.23,93.612,77.049,63.935,54.339,22.381,61.16,21.839,38.336,33.794,47.962,46.123,41.49,17.221
0.23155,3621.2,4527.9,9.2645,27.084,42.114,2707.6,75.431,120.41,0.32648,80.174,49.846,2635.9,26.181,49.775,3106.2,23.201,65.724,226.7,340.47,94.687,77.238,63.721,54.8,22.464,61.261,21.971,38.533,37.647,46.013,46.346,40.584,20.319
0.32302,3692.2,4481.8,9.0944,26.848,42.084,2693.7,75.019,120.44,0.32032,79.939,50.613,2620.9,23.592,50.276,3096.9,22.677,66.03,230.46,335.51,94.778,76.775,63.337,53.509,31.907,62.089,20.69,38.6,39.905,47.172,47.684,40.677,18.974
0.22553,3647.3,4477.1,9.3149,26.794,42.415,2701.6,74.837,120.39,0.33334,80.153,48.448,2630.2,25.964,49.955,3097.5,22.58,65.302,223.4,340.65,94.636,77.611,62.982,53.499,22.392,60.187,22.206,40.393,33.532,46.43,45.269,44.537,18.97
0.29713,3682.1,4366.1,9.4742,26.942,42.51,2684.7,74.045,120.4,0.33453,80.572,51.42,2613.0,26.174,50.363,3083.2,22.711,67.101,263.61,341.62,94.534,77.678,62.939,52.402,29.194,76.551,21.654,39.507,42.279,47.374,57.219,41.371,18.678
0.20984,3707.2,4626.6,9.6258,26.999,42.82,2750.9,75.269,120.43,0.60105,79.358,50.906,2680.9,26.412,50.541,3143.9,22.589,64.965,226.23,347.79,94.478,77.692,63.896,54.975,20.56,64.408,24.133,69.752,40.767,47.786,45.034,41.818,18.775
0.25454,3673.9,4458.1,9.3107,27.001,42.126,2712.8,74.82,120.41,0.33241,79.994,49.173,2642.7,25.784,49.15,3107.4,21.763,65.622,228.38,342.94,94.605,77.756,63.181,54.332,25.209,63.232,22.97,39.211,35.667,44.567,47.487,41.583,20.95
0.088731,3736.5,4470.6,10.131,26.727,42.875,2798.5,72.459,120.41,0.39605,78.102,49.59,2732.4,25.841,50.533,3177.3,22.851,70.691,415.22,361.23,93.953,77.254,64.572,52.706,8.833,68.108,28.128,43.308,36.892,47.767,99.873,42.752,19.392
0.29707,3643.2,4500.8,9.3753,26.735,42.056,2700.3,74.645,120.39,0.32188,80.528,49.598,2628.8,24.632,50.889,3099.5,23.084,65.05,205.36,339.24,94.577,77.202,62.732,52.992,29.244,59.906,21.699,38.771,36.918,48.591,41.604,40.618,17.751
0.26143,3695.9,4491.9,9.3057,26.86,42.192,2699.0,75.062,120.38,0.33359,80.828,49.335,2628.1,25.421,50.181,3097.3,23.063,66.186,229.67,339.73,94.605,78.112,62.345,53.857,25.375,60.995,21.824,39.659,36.143,46.953,48.428,46.243,17.75
0.20542,3640.5,4531.3,9.3233,27.144,42.618,2718.9,74.214,120.4,0.31853,79.706,50.19,2648.2,24.368,50.739,3115.2,23.5,65.331,225.12,342.31,94.677,77.231,62.994,53.479,20.293,60.605,22.817,38.35,38.658,48.244,45.664,41.29,16.836
0.20857,3670.9,4567.0,9.2868,27.1,42.11,2719.0,74.739,120.4,0.33766,79.826,51.133,2648.3,26.736,50.073,3113.0,22.378,65.501,230.89,343.32,94.621,77.525,62.412,54.024,20.246,63.223,23.201,39.832,41.434,46.702,46.996,41.965,19.454
0.29113,3592.3,4699.2,9.4984,26.629,42.226,2698.5,74.94,120.38,0.6712,81.338,49.953,2626.9,22.488,49.213,3096.8,23.109,62.348,115.24,341.82,94.553,79.351,62.963,55.934,28.25,64.999,21.622,79.538,37.962,44.713,21.44,40.437,16.461
0.23335,3624.9,4501.4,9.3742,26.572,41.787,2692.6,74.873,120.37,0.33988,79.989,51.258,2620.6,25.479,51.042,3092.0,22.671,65.459,218.03,338.81,94.886,76.973,63.255,54.822,22.606,61.84,21.211,40.695,41.802,48.946,44.865,40.109,18.824
0.20541,3628.8,4577.5,9.305,26.762,42.114,2714.4,74.376,120.38,0.33953,79.776,49.867,2643.8,23.095,50.536,3107.6,21.853,65.653,230.54,344.2,94.554,77.39,62.204,54.009,19.889,62.514,23.176,40.603,37.708,47.774,47.494,40.753,23.476
0.0,3633.3,4267.4,9.5254,26.939,42.325,3000.0,74.416,120.41,0.20824,72.768,50.091,2920.6,25.557,49.662,3444.0,22.478,67.369,462.03,309.27,95.691,73.138,63.764,49.557,100.0,70.189,100.02,0.1845,38.368,45.752,100.11,71.385,30.522
0.03453,3684.2,4549.7,9.8339,26.928,42.633,2692.7,73.447,120.39,0.40748,80.834,50.786,2622.1,24.543,49.664,3082.4,22.915,64.865,198.21,350.03,94.362,78.208,63.52,54.643,3.3081,62.183,23.644,46.547,40.412,45.756,39.33,41.371,17.77
0.44418,3645.8,4233.3,9.3999,26.984,42.281,2644.5,73.239,120.43,0.38674,81.684,51.306,2571.1,25.248,48.643,3053.0,23.867,69.901,337.78,331.23,94.682,77.885,62.099,51.357,43.957,74.204,18.914,47.34,41.944,43.394,81.367,40.921,16.329
0.19059,3710.0,4581.9,9.4036,27.023,42.043,2725.2,75.197,120.43,0.33477,79.713,50.875,2655.2,24.115,50.411,3115.8,23.359,66.446,251.65,346.78,94.146,77.351,63.533,54.483,19.02,77.961,23.948,38.997,40.676,47.486,52.415,42.384,17.1
0.37079,3714.0,4671.1,9.7944,26.862,43.034,2720.5,74.133,120.44,0.76673,80.787,51.22,2648.6,24.471,49.722,3122.7,22.616,63.48,161.82,342.32,94.412,79.251,63.156,56.121,36.558,65.248,21.694,90.661,41.691,45.89,31.355,41.766,18.109
0.31261,3713.6,4528.2,9.7569,26.696,42.738,2769.3,74.886,120.46,0.37972,79.233,50.777,2699.3,24.097,49.596,3168.3,22.163,64.261,212.53,342.99,94.045,77.35,62.43,53.786,31.163,62.965,23.294,44.553,40.387,45.599,41.734,42.416,19.743
0.19902,3646.5,4589.5,9.204,27.076,41.971,2722.8,75.526,120.4,0.31811,79.516,49.362,2651.6,25.845,49.088,3118.3,22.67,64.647,215.89,342.5,94.7,77.016,63.347,54.667,19.776,62.201,23.029,37.312,36.223,44.422,39.216,40.531,18.848
-0.00052778,3666.0,4493.8,9.5498,26.638,42.343,2833.7,75.051,120.38,0.26176,77.451,51.415,2757.8,26.314,48.889,3259.1,21.876,65.205,287.57,320.53,95.232,75.134,62.576,53.265,99.814,60.934,19.04,32.413,42.265,43.963,59.433,39.621,21.733
0.2634,3626.1,4581.6,9.3558,26.898,42.343,2726.8,74.855,120.38,0.31747,79.438,51.62,2657.1,25.699,48.844,3119.3,23.378,63.35,226.11,343.65,94.623,77.366,61.844,53.924,25.837,61.043,23.561,38.059,42.868,43.858,44.618,40.933,17.149
0.25053,3680.1,4481.9,9.5211,26.716,42.217,2717.2,74.53,120.39,0.3413,79.636,51.439,2646.1,25.064,52.248,3112.9,22.942,65.235,226.05,342.36,94.556,77.262,63.51,53.732,24.81,60.996,22.722,40.736,42.333,51.737,45.946,40.761,18.207
0.26014,3666.1,4471.2,9.3566,27.241,42.187,2704.9,74.878,120.38,0.3365,80.183,49.773,2633.0,25.851,49.412,3100.6,23.735,64.684,240.08,343.16,94.629,77.473,62.556,53.479,25.924,60.477,22.708,39.61,37.432,45.172,48.161,40.459,16.192
0.24771,3697.8,4348.1,9.2618,27.155,42.054,2687.2,76.212,120.4,0.34746,80.225,50.588,2598.0,23.295,51.126,3085.4,22.273,65.837,231.49,335.34,94.513,76.891,63.678,53.351,24.609,61.893,19.005,41.673,39.83,49.141,48.24,40.745,19.871
0.00053608,3601.1,4357.7,9.3537,26.966,41.949,2866.1,74.991,120.39,0.23459,76.546,50.867,2786.6,26.352,51.069,3305.3,22.999,66.98,372.11,308.19,95.817,74.57,62.714,51.938,99.664,61.53,16.771,28.531,40.651,49.007,80.672,37.527,20.047
0.23328,3649.4,4494.9,9.3946,26.673,41.923,2701.3,75.02,120.4,0.35095,80.104,47.982,2629.7,23.097,51.036,3099.8,22.748,67.887,276.61,342.06,94.4,77.44,63.716,53.596,22.798,58.832,22.082,41.569,32.162,48.931,54.359,41.405,18.52
0.37755,3708.9,4669.0,9.0537,26.938,42.314,2792.8,78.17,120.38,0.3605,77.456,49.401,2724.5,25.83,49.048,3178.6,21.701,63.554,211.54,347.98,94.436,75.991,63.553,55.974,37.232,58.33,26.384,42.198,36.337,44.331,40.984,41.695,21.31
0.31848,3717.9,4506.2,9.2051,26.92,42.022,2706.8,74.516,120.38,0.33359,79.726,50.881,2616.0,27.355,52.573,3108.6,23.358,64.379,201.04,332.5,94.473,76.694,63.321,53.904,31.454,61.434,18.506,39.611,40.692,52.488,40.176,39.934,17.464
0.25588,3610.1,4484.2,9.2167,26.454,42.28,2708.6,74.336,120.43,0.33151,80.162,50.782,2638.3,25.071,50.579,3105.0,22.418,65.98,234.09,342.19,94.592,77.464,61.837,53.677,25.089,59.983,22.256,38.827,40.4,47.873,48.985,41.193,19.364
0.2768,3658.7,4491.8,9.2588,26.886,42.414,2693.9,74.78,120.41,0.34496,80.285,51.401,2620.8,25.243,50.499,3094.6,23.509,65.725,225.84,338.45,94.803,77.333,62.492,54.153,26.808,61.037,21.098,41.213,42.224,47.69,46.918,41.033,16.83
0.24584,3678.7,4525.2,9.3911,27.009,42.666,2705.3,75.201,120.37,0.3333,80.109,50.01,2634.5,25.468,48.393,3102.1,23.048,65.877,233.94,342.56,94.611,77.364,62.251,53.224,24.672,60.585,22.528,39.607,38.129,42.815,48.455,40.958,17.838
0.27773,3643.3,4554.3,9.3681,27.05,42.133,2696.4,75.527,120.38,0.34079,80.27,50.088,2624.2,24.022,49.549,3096.0,24.212,65.693,225.82,338.95,94.619,77.385,62.868,54.113,27.821,61.39,21.415,40.563,38.36,45.491,46.948,40.524,15.136
0.22366,3654.7,4514.9,9.4336,27.037,42.467,2698.0,74.539,120.39,0.33999,80.009,51.032,2625.9,25.349,50.731,3095.6,23.871,66.959,260.67,341.32,94.636,77.081,63.204,54.485,22.036,59.847,22.003,40.438,41.137,48.225,55.836,40.988,15.973
0.25817,3712.0,4558.9,9.3739,27.19,41.94,2713.1,75.76,120.39,0.35871,80.147,50.994,2641.6,25.351,51.224,3110.9,23.466,65.941,236.38,341.86,94.631,77.719,62.675,54.407,25.578,60.398,22.676,42.983,41.026,49.366,49.374,41.109,16.87
0.22202,3636.1,4524.2,9.3938,26.916,42.312,2716.9,75.154,120.38,0.33322,79.588,49.076,2645.9,25.577,50.104,3110.7,23.684,65.411,223.24,342.75,94.811,77.171,62.152,54.571,21.931,60.367,22.852,38.958,35.381,46.775,45.917,40.982,16.58
0.29778,3636.4,4574.9,9.2179,27.528,42.575,2701.6,74.858,120.37,0.32643,79.886,49.792,2629.2,24.966,49.517,3101.7,23.779,65.158,220.92,339.17,94.978,77.189,62.439,53.892,29.149,59.678,22.8,39.438,37.487,45.417,44.534,40.556,16.218
0.22318,3651.1,4567.3,9.2706,26.484,42.384,2718.0,74.932,120.42,0.31497,79.369,49.525,2600.6,25.494,50.64,3113.6,22.177,64.702,213.49,327.42,94.789,76.291,63.129,53.988,21.984,60.243,15.53,37.727,36.702,48.015,42.934,41.545,20.282
0.22299,3680.1,4547.7,9.4286,26.561,41.967,2713.2,75.576,120.44,0.31248,79.904,49.991,2642.2,25.846,49.306,3108.9,23.46,65.819,237.42,342.44,94.623,77.29,63.343,53.864,21.943,61.47,22.5,36.719,38.072,44.927,48.182,41.942,16.895
0.28474,3631.1,4516.7,9.3746,27.116,42.294,2706.6,74.794,120.38,0.35119,80.432,50.652,2635.9,26.06,49.011,3104.1,23.307,65.684,230.34,340.28,94.591,77.727,63.034,54.633,28.073,62.518,22.428,42.008,40.018,44.245,47.655,40.465,17.251
0.22435,3761.6,4483.1,9.4217,27.14,42.572,2697.3,74.598,120.41,0.33982,80.093,49.545,2626.1,25.209,51.11,3095.1,22.53,65.833,187.08,341.75,94.437,77.201,62.77,53.358,21.595,59.089,22.061,40.452,36.76,49.102,38.515,41.487,19.098
0.22236,3724.1,4512.7,9.3589,26.668,42.236,2721.7,75.589,120.41,0.34152,79.455,50.526,2611.4,22.829,48.934,3113.5,23.986,64.669,214.39,334.36,94.594,76.919,62.819,53.975,22.38,60.708,17.324,40.552,39.649,44.066,42.875,41.999,15.835
0.27669,3688.3,4489.7,9.2939,27.057,42.157,2700.8,74.901,120.41,0.34109,80.278,49.366,2628.7,25.161,48.668,3098.7,22.195,65.804,233.95,340.25,94.41,77.302,63.685,53.726,27.437,61.545,21.929,41.097,36.234,43.451,48.514,41.544,19.968
0.28946,3712.0,4508.8,9.2384,26.85,42.114,2700.0,75.341,120.53,0.32149,80.259,49.11,2628.4,26.462,51.531,3098.8,22.835,66.291,238.96,340.65,83.953,77.294,62.857,52.99,28.797,61.95,21.639,38.189,35.48,50.076,49.906,50.375,18.384
0.0027722,3799.7,4798.1,11.125,26.878,43.505,3000.1,71.135,120.43,0.27981,74.695,49.066,2942.7,21.916,49.014,3345.8,22.799,68.781,411.83,381.95,92.251,75.263,70.073,68.767,0.0,82.243,25.609,3.6346,35.353,44.252,22.076,61.163,20.237
0.30748,3688.0,4663.0,9.6498,26.558,42.663,2687.2,75.577,120.39,0.67488,81.32,49.322,2615.7,27.21,51.803,3088.5,22.728,62.454,115.3,339.71,94.543,78.909,63.425,56.482,29.795,60.888,20.813,80.484,36.104,50.708,21.583,41.081,17.39
0.23448,3634.2,4499.4,9.357,26.791,42.399,2706.8,75.929,120.39,0.35416,80.298,48.604,2635.3,23.837,49.289,3103.4,22.692,65.525,228.89,340.53,94.669,77.337,62.602,54.007,22.537,61.659,22.21,41.485,33.993,44.888,46.831,40.434,18.747
0.16472,3660.5,4565.4,9.4059,27.088,42.326,2708.8,75.122,120.38,0.32021,79.908,50.298,2638.3,23.786,50.621,3102.8,22.872,65.947,236.02,343.54,94.588,77.376,63.678,54.27,16.639,62.227,22.918,37.85,38.977,47.971,48.986,40.85,18.264
0.21946,3658.8,4510.9,9.4163,26.398,42.301,2715.7,75.731,120.31,0.327,80.1,50.308,2644.9,25.021,49.448,3110.0,23.567,65.902,236.72,343.88,94.458,77.734,63.22,53.707,21.209,60.382,22.779,38.579,39.006,45.257,49.175,38.027,16.528
0.22536,3729.5,4471.9,9.14,26.906,42.279,2713.9,75.143,120.42,0.32845,79.854,49.489,2642.9,24.995,50.717,3109.7,23.013,65.255,220.06,342.39,94.532,77.038,62.924,54.455,22.224,60.767,22.787,38.607,36.597,48.194,45.02,41.535,17.981
0.24907,3634.9,4504.0,9.3831,26.656,41.909,2702.2,75.884,120.38,0.34538,79.918,50.711,2630.5,25.363,48.987,3098.3,23.484,65.772,232.63,342.06,94.937,77.17,62.552,54.291,24.579,59.688,22.309,40.725,40.192,44.189,47.68,40.387,16.864
0.20933,3640.5,4419.8,9.6132,26.701,42.454,2708.1,73.161,120.42,0.34758,80.814,51.827,2638.9,24.746,50.658,3098.4,22.122,66.178,229.38,349.32,94.295,78.098,63.829,52.857,20.972,63.313,23.853,40.121,43.476,48.057,48.034,41.35,22.055
0.48849,3617.4,4455.0,9.3737,26.978,42.403,2736.2,74.865,120.38,0.3403,80.365,49.806,2661.5,26.252,48.546,3151.7,21.999,65.953,230.9,329.05,94.972,77.515,62.959,52.904,47.522,61.217,19.272,41.254,37.529,43.17,47.996,40.226,20.237
0.0022809,3798.6,4883.0,10.315,27.063,43.369,2985.6,74.351,120.4,0.25195,72.347,48.957,2926.6,24.199,49.084,3329.1,22.778,66.764,373.44,380.09,92.667,74.787,65.308,59.029,0.33267,68.533,39.575,24.709,35.032,44.415,77.338,45.562,20.775
0.27403,3670.3,4482.8,9.4248,27.365,42.3,2707.5,75.649,120.4,0.32058,79.887,48.949,2635.9,26.668,49.546,3104.5,23.609,65.746,236.13,341.63,94.65,77.412,63.282,54.046,26.79,60.629,22.422,38.086,35.007,45.484,48.399,41.114,16.58
0.19783,3659.0,4554.9,9.5367,26.572,42.202,2721.5,74.371,120.39,0.32704,79.885,48.569,2652.9,25.161,48.572,3112.4,23.217,65.056,232.92,346.93,94.392,77.166,63.389,53.31,19.549,64.312,23.735,38.609,33.888,43.229,46.783,42.418,17.358
